Participants,Gender,age,Time_Model_A,Time_Model_B,Time_Model_C,Errors_Model_A,Errors_Model_B,Errors_Model_C,Gestures_Model_A,Gestures_Model_B,Gestures_Model_C,Cognitive_Load,Time_Model_1,Time_Model_2,Time_Model_3,Errors_Model_1,Errors_Model_2,Errors_Model_3,Gestures_Model_1,Gestures_Model_2,Gestures_Model_3
1,Female,19,43.64,41.36,44.76,1,0,0,19,20,16,39.4,43.64,41.36,44.76,1,0,0,19,20,16
2,Female,21,122.8,33.16,67.4,8,0,6,49,16,34,56.27,122.8,67.4,33.16,8,6,0,49,34,16
3,Female,21,108.08,93.96,53.4,4,3,0,33,34,18,18.13,93.96,108.08,53.4,3,4,0,34,33,18
4,Female,20,19.68,26.84,19.44,0,0,0,15,13,13,35.67,26.84,19.44,19.68,0,0,0,13,13,15
5,Male,20,44.2,36.44,130.92,0,0,11,22,20,56,59.07,130.92,44.2,36.44,11,0,0,56,22,20
6,Female,36,24.12,70.2,37.96,0,3,0,20,25,14,55.47,37.96,70.2,24.12,0,3,0,14,25,20
7,Female,20,41.36,110.84,45,0,8,0,11,45,17,22.87,41.36,110.84,45.4,0,8,0,11,45,17
8,Female,20,39.84,46.24,52.48,0,0,1,14,23,24,38.93,39.84,52.48,46.24,0,1,0,14,24,23
9,Female,20,30.56,41.6,20,1,1,0,16,18,14,31,41.6,30.56,20,1,1,0,18,16,14
10,Female,20,53.8,113.68,75.12,3,6,4,31,36,32,52.73,113.68,75.12,53.8,6,4,3,36,32,31
11,Female,21,24.44,26.72,30.2,2,0,0,20,17,18,20.07,30.2,24.44,26.72,0,2,0,18,20,17
12,Female,21,123.64,62.6,50.2,7,1,0,40,22,19,43,50.2,62.6,123.64,0,1,7,19,22,40
13,Female,20,48.24,52.84,34.84,1,1,0,20,30,18,24.2,48.24,52.84,34.84,1,1,0,20,30,18
14,Male,20,63.4,74.28,37.72,0,3,0,28,35,15,33.33,63.4,37.72,74.28,0,0,3,28,15,35
15,Female,34,27.16,57,38.64,0,0,1,14,19,22,28.6,57,27.16,38.64,0,0,1,19,14,22
16,Female,20,29.04,82.6,86.12,0,4,10,17,37,51,34.93,82.6,86.12,29.04,4,10,0,37,51,17
17,Female,19,30.48,38.68,44.48,0,1,2,15,21,19,40.33,44.48,30.48,38.68,2,0,1,19,15,21
18,Female,23,35.76,30,48.76,3,0,6,25,18,34,55.13,48.76,30,35.76,6,0,3,34,18,25
19,Female,22,99.44,122.56,42.04,4,4,0,44,45,24,47,99.44,122.56,42.04,4,4,0,44,45,24
20,Male,19,89.84,55.44,43.92,3,2,0,30,30,18,35,89.84,43.92,55.44,3,0,2,30,18,30
21,Female,18,36.24,49.48,29.32,1,4,0,21,28,15,35.67,49.48,36.24,29.32,4,1,0,28,21,15
22,Female,21,44.6,146.44,66.64,0,12,4,18,75,31,42.33,146.44,66.64,44.6,12,4,0,75,31,18
23,Female,21,32.28,36,32.2,1,0,0,16,22,11,15.2,32.2,32.28,36,0,1,0,11,16,22
24,Male,19,48.44,84.72,63.6,1,3,0,14,31,17,16,63.6,84.72,48.44,0,3,1,17,31,14
25,Female,18,44.2,62.8,37.84,0,1,0,19,24,11,36,44.2,62.8,37.84,0,1,0,19,24,11
26,Female,20,128.88,43.44,40.92,7,0,0,43,18,16,46,128.88,40.92,43.44,7,0,0,43,16,18
27,Female,18,45.2,76.84,44.2,1,3,0,23,39,19,26,76.84,45.2,44.2,3,1,0,39,23,19
28,Female,19,29.6,52.44,43.56,0,1,1,20,32,25,45.47,43.56,29.6,52.44,1,0,1,25,20,32
29,Female,19,30.12,38.84,71.64,0,2,3,20,24,23,59,71.64,38.84,30.12,3,2,0,23,24,20
30,Female,26,42.68,38.72,31.32,0,0,0,18,20,20,51.93,42.68,38.72,31.32,0,0,0,18,20,20
31,Female,19,54.12,57.76,79.08,2,0,3,22,28,27,27.33,79.08,54.12,57.76,3,2,0,27,22,28
32,Male,19,92.56,50.92,33.4,4,0,0,40,22,18,27.67,50.92,33.4,92.56,0,0,4,22,18,40
