Participants,Gender,age,Time_Model_A,Time_Model_B,Time_Model_C,Errors_Model_A,Errors_Model_B,Errors_Model_C,Gestures_Model_A,Gestures_Model_B,Gestures_Model_C,Cognitive_Load,Time_Model_1,Time_Model_2,Time_Model_3,Errors_Model_1,Errors_Model_2,Errors_Model_3,Gestures_Model_1,Gestures_Model_2,Gestures_Model_3
1,Male,20,119.35,99.17,174.17,4,0,0,33,16,15,62.533,119.35,99.17,174.17,4,0,0,33,16,15
2,Male,20,157.36,95.1,116.45,4,1,0,26,13,17,54.8,157.36,116.45,95.1,4,0,1,26,17,13
3,Female,20,141.07,132.17,81.38,0,1,0,13,24,11,38,132.17,141.07,81.38,1,0,0,24,13,11
4,Female,19,130.23,164.53,100.57,0,2,0,13,21,10,11.333,164.53,100.57,130.23,2,0,0,21,10,13
5,Female,20,119.52,112.71,157.49,1,2,0,17,22,11,12.667,157.49,119.52,112.71,0,1,2,11,17,22
6,Female,25,446,215.35,422.09,29,0,16,94,9,56,55.133,422.09,215.35,446,16,0,29,56,9,94
7,Female,21,172.24,212.95,137.54,0,0,0,18,19,16,48.333,172.24,212.95,137.54,0,0,0,18,19,16
8,Female,20,117.82,100.4,134,0,0,0,14,14,12,25.333,117.82,134,100.4,0,0,0,14,12,14
9,Female,31,127.63,139.77,182.02,0,0,0,15,15,11,23.667,139.77,127.63,182.02,0,0,0,15,15,11
10,Female,20,162.6,159.69,217.88,0,0,2,14,17,22,36.6,159.69,217.88,162.6,0,2,0,17,22,14
11,Male,22,155.32,99.33,106.94,1,0,1,18,14,18,57.533,106.94,155.32,99.33,1,1,0,18,18,14
12,Female,19,193.53,225.36,222.06,0,0,1,12,9,13,28.467,222.06,225.36,193.53,1,0,0,13,9,12
13,Female,29,159.76,119.05,124.32,0,0,0,13,12,15,40.333,159.76,119.05,124.32,0,0,0,13,12,15
14,Female,24,114.21,148.28,141.78,0,0,1,14,18,14,31.733,114.21,141.78,148.28,0,1,0,14,14,18
15,Male,22,129.66,109.34,123.96,0,2,1,15,27,14,54.4,109.34,129.66,123.96,2,0,1,27,15,14
16,Female,24,119.22,108.04,191.69,0,2,2,17,18,22,59,108.04,191.69,119.22,2,2,0,18,22,17
17,Female,20,152.35,80.51,271.97,0,0,0,24,11,16,33.867,271.97,152.35,80.51,0,0,0,16,24,11
18,Male,23,80.78,80.81,81.11,0,0,0,17,13,17,25.067,81.11,80.81,80.78,0,0,0,17,13,17
19,Male,27,110.94,82,104.44,0,0,0,24,22,18,38.2,110.94,82,104.44,0,0,0,24,22,18
20,Female,23,159.13,129.16,196.53,2,2,0,19,15,12,34.667,159.13,196.53,129.16,2,0,2,19,12,15
21,Female,18,81.31,115.72,101.57,0,4,2,17,29,20,20.333,115.72,81.31,101.57,4,0,2,29,17,20
22,Female,19,106.11,114.01,103.67,2,0,0,28,22,22,30.333,114.01,103.67,106.11,0,0,2,22,22,28
23,Male,23,196.06,160.83,136.14,0,0,1,12,12,14,14.333,136.14,196.06,160.83,1,0,0,14,12,12
